Contents,CoreID,N,d15N,C,d13C
Blades,YM2D_3_1_1,1.71221955,0.6702125,42.15261394,-10.26111038
Blades,YM2D_3_1_1,1.729379716,0.625514282,41.9425949,-9.638003127
Blades,YM2D_3_1_1,1.74427625,0.56862564,42.31660313,-10.16620635
Blades,YM2D_3_1_2,1.704484188,0.796778836,41.84850408,-10.81096939
Blades,YM2D_3_1_2,1.712838648,0.867997813,41.28790965,-9.975911389
Blades,YM2D_3_1_2,1.670462919,0.792766499,41.181669,-10.10460515
Blades,YM2D_3_1_2,1.728576018,0.970312401,41.75554305,-10.22749317
Blades,YM2D_3_1_2,1.700549502,0.710513595,41.36261331,-10.43843482
Blades,YM2D_3_1_2,1.701807914,0.732581447,41.32789933,-10.06686788
Blades,YM2D_3_1_2,1.70375011,0.912133518,41.37323019,-10.03009824
Blades,YM2D_3_1_2,1.72019447,0.762673973,41.2974133,-10.29619435
Blades,YM2D_3_1_2,1.712768721,0.882040992,41.37373463,-10.41424427
Blades,YM2D_3_1_2,1.719544494,0.846933045,41.34682966,-10.02913061
Blades,YM2D_3_1_3,1.516511946,0.979340158,40.87006257,-9.441783909
Blades,YM2D_3_1_3,1.521236171,1.038522126,40.8444151,-9.50274411
Blades,YM2D_3_1_3,1.504904821,0.933198286,40.86461336,-9.906242588
Blades,YM2D_3_1_3,1.513731231,0.986361748,40.81069497,-9.570477668
Blades,YM2D_3_1_3,1.515934775,1.074633157,40.77133912,-9.103116122
Blades,YM2D_3_1_3,1.513767695,0.933198286,40.8349597,-9.672078004
Blades,YM2D_3_1_3,1.50836841,1.057580725,40.77935194,-9.32179875
Blades,YM2D_3_1_3,1.517085951,0.92216436,40.78569222,-9.704009538
Blades,YM2D_3_1_3,1.513958582,0.985358664,40.69063387,-9.323733995
Blades,YM2D_3_1_3,1.506879743,0.917148939,40.80183745,-10.08622033
Blades,YM2D_3_20_1,1.657331505,-0.504194212,42.09118223,-7.650799733
Blades,YM2D_3_20_2,1.520356438,1.029692349,40.85010368,-7.63594548
Blades,YM2D_3_20_3,1.489212938,-0.223147912,41.79248009,-8.474456008
Blades,YM3A_1_1_1,1.539962989,1.090066443,41.76949966,-9.454548862
Blades,YM3A_1_1_2,1.356602396,0.180591426,40.42022595,-9.040738157
Blades,YM3A_1_1_2,1.356623375,0.147964519,40.17717396,-9.217664349
Blades,YM3A_1_1_2,1.350081505,0.307020688,39.68376208,-9.184244957
Blades,YM3A_1_1_3,1.518987612,-0.288420354,42.16865059,-10.06297838
Blades,YM3A_1_20_1,1.489313577,0.384509591,40.06556206,-7.59584092
Blades,YM3A_1_20_2,1.477411427,0.763797379,39.69952625,-6.715141652
Blades,YM3A_1_20_3,1.47832021,0.60474121,42.16801149,-8.045036864
Blades,YM3A_2_1_1,1.595084167,-0.519360697,41.61451482,-8.166290783
Blades,YM3A_2_1_2,1.462829584,-0.766463804,41.00994706,-8.693675707
Blades,YM3A_2_1_3,1.475874361,0.200594037,41.19259635,-8.701591428
Blades,YM3A_2_20_1,1.586263274,-0.077015628,41.84940585,-6.878007159
Blades,YM3A_2_20_2,1.516390863,-1.361341656,40.8922462,-7.501370203
Blades,YM3A_2_20_3,1.37143264,-0.233615951,40.63645817,-7.802167608
Blades,YM3A_3_1_1,1.540692039,-0.016608375,40.85154722,-8.161785867
Blades,YM3A_3_1_2,1.497661499,1.108222139,41.8876511,-8.618917529
