"","timestep","ag_biomass","bg_biomass","ag_production","bg_production","distance","xy_int"
"17785",38220,926.31,1518.20899249153,347.061073900317,1.13753303490557,1,"1.5.-0.5"
"17786",38232,926.31,1518.21994121776,348.018749076757,1.13756420133632,1,"1.5.-0.5"
"17787",38244,926.31,1518.23088961446,348.510574184824,1.13758062971829,1,"1.5.-0.5"
"17788",38256,926.31,1518.24236357935,365.7346795958,1.13812295542084,1,"1.5.-0.5"
"17789",38268,926.31,1518.25461093477,390.931215981778,1.13891390803019,1,"1.5.-0.5"
"17790",38280,926.31,1518.26618826753,370.18046814017,1.13826263135252,1,"1.5.-0.5"
"17791",38292,926.31,1518.27709910796,349.44375715137,1.1376138596188,1,"1.5.-0.5"
"17792",38304,926.31,1518.28797277388,348.758293884923,1.13759338565796,1,"1.5.-0.5"
"17793",38316,926.31,1518.29878885013,347.414335580659,1.13755243976266,1,"1.5.-0.5"
"17794",38328,926.31,1518.30983087082,355.165497119073,1.13779493996662,1,"1.5.-0.5"
"17795",38340,926.31,1518.32188930921,388.362431223737,1.13882825938981,1,"1.5.-0.5"
"17796",38352,926.31,1518.33362113203,378.466811937513,1.13852010148457,1,"1.5.-0.5"
"17797",38364,926.31,1518.34448895315,351.191758680623,1.13767405765429,1,"1.5.-0.5"
"17798",38376,926.31,1518.35531632684,350.392650815018,1.13765024569875,1,"1.5.-0.5"
"17799",38388,926.31,1518.3661583842,351.372145749512,1.13768150305168,1,"1.5.-0.5"
"17800",38400,926.31,1518.37703904673,353.129627781454,1.13773670450155,1,"1.5.-0.5"
"17801",38412,926.31,1518.38884776744,383.745700342231,1.13868141817238,1,"1.5.-0.5"
"17802",38424,926.31,1518.40078677897,388.582866928366,1.13882978525635,1,"1.5.-0.5"
"17803",38436,926.31,1518.41159517867,352.410648375633,1.13771744926635,1,"1.5.-0.5"
"17804",38448,926.31,1518.42229914463,349.515823810361,1.13762956080154,1,"1.5.-0.5"
"17805",38460,926.31,1518.43302428979,350.706758221262,1.13766712551205,1,"1.5.-0.5"
"17806",38472,926.31,1518.44373817205,350.841481206531,1.13767228068627,1,"1.5.-0.5"
"17807",38484,926.31,1518.45496807825,368.233017447812,1.13820470557221,1,"1.5.-0.5"
"17808",38496,926.31,1518.46684719775,390.06646913907,1.13887110987616,1,"1.5.-0.5"
"17809",38508,926.31,1518.47789309436,363.332626804069,1.13805607196173,1,"1.5.-0.5"
"17810",38520,926.31,1518.48868790906,355.615479478322,1.13782189963695,1,"1.5.-0.5"
"17811",38532,926.31,1518.49932243333,350.852740568749,1.13767813454251,1,"1.5.-0.5"
"17812",38544,926.31,1518.50996753709,351.70254721021,1.13770499411839,1,"1.5.-0.5"
"17813",38556,926.31,1518.52081490908,358.884657350951,1.13792355872829,1,"1.5.-0.5"
"17814",38568,926.31,1518.53300098384,403.677880949108,1.13927886765759,1,"1.5.-0.5"
"17815",38580,926.31,1518.54441832968,378.87706300529,1.13852879444494,1,"1.5.-0.5"
"17816",38592,926.31,1518.55500240403,351.816322139523,1.13771300196822,1,"1.5.-0.5"
"17817",38604,926.31,1518.56558155546,352.154581660579,1.13772428249194,1,"1.5.-0.5"
"17818",38616,926.31,1518.57611723471,351.210699882358,1.1376970063593,1,"1.5.-0.5"
"17819",38628,926.31,1518.58669825628,353.220714887429,1.13775847826673,1,"1.5.-0.5"
"17820",38640,926.31,1518.59782225856,371.841741159791,1.13831765810482,1,"1.5.-0.5"
"17821",38652,926.31,1518.60943753882,388.816777697881,1.13882596662461,1,"1.5.-0.5"
"17822",38664,926.31,1518.62026958007,363.214785377437,1.1380605104232,1,"1.5.-0.5"
"17823",38676,926.31,1518.63078099828,353.001163034467,1.1377564711911,1,"1.5.-0.5"
"17824",38688,926.31,1518.64133461428,354.920083336532,1.13781476203167,1,"1.5.-0.5"
"17825",38700,926.31,1518.65184596186,354.007041153091,1.13778865138283,1,"1.5.-0.5"
"17826",38712,926.31,1518.66269466362,365.867266856367,1.13814209873999,1,"1.5.-0.5"
"17827",38724,926.31,1518.67449017747,398.323246350395,1.13910552062134,1,"1.5.-0.5"
"17828",38736,926.31,1518.68565857742,377.78762312996,1.1384964662584,1,"1.5.-0.5"
"17829",38748,926.31,1518.69620621457,357.369810975506,1.13789280298533,1,"1.5.-0.5"
"17830",38760,926.31,1518.70665264853,354.455448477587,1.13780774901261,1,"1.5.-0.5"
"17831",38772,926.31,1518.71713798538,356.278833141434,1.13786264628379,1,"1.5.-0.5"
"17832",38784,926.31,1518.72758317304,355.424259298074,1.13783855115798,1,"1.5.-0.5"
"17833",38796,926.31,1518.73890921713,385.887871702027,1.13873540028908,1,"1.5.-0.5"
"17834",38808,926.31,1518.75057854732,398.177346282289,1.13909602790864,1,"1.5.-0.5"
"17835",38820,926.31,1518.76106403558,358.423347637465,1.13793005324624,1,"1.5.-0.5"
"17836",38832,926.31,1518.77151660366,357.812141364091,1.13791318783205,1,"1.5.-0.5"
"17837",38844,926.31,1518.78191430841,356.446425434086,1.13787432899244,1,"1.5.-0.5"
"17838",38856,926.31,1518.79228431199,356.004421258636,1.13786254839852,1,"1.5.-0.5"
"17839",38868,926.31,1518.80308695908,371.354771881597,1.13831107020269,1,"1.5.-0.5"
"17840",38880,926.31,1518.81457374393,395.413449839398,1.13901174881903,1,"1.5.-0.5"
"17841",38892,926.31,1518.82558092608,379.529929145065,1.13854973464004,1,"1.5.-0.5"
"17842",38904,926.31,1518.83591501114,356.902213932713,1.13789349185208,1,"1.5.-0.5"
"17843",38916,926.31,1518.84620657535,355.940988242044,1.13786679475834,1,"1.5.-0.5"
"17844",38928,926.31,1518.85649213106,356.236714230152,1.13787654500902,1,"1.5.-0.5"
"17845",38940,926.31,1518.86676312191,356.236435199389,1.13787772982778,1,"1.5.-0.5"
"17846",38952,926.31,1518.87809890564,393.65115538094,1.13895825017062,1,"1.5.-0.5"
"17847",38964,926.31,1518.88974553003,405.058060124051,1.13928644889893,1,"1.5.-0.5"
"17848",38976,926.31,1518.90038789772,370.785255977826,1.13830002639588,1,"1.5.-0.5"
"17849",38988,926.31,1518.91063042949,357.404772242997,1.13791648698134,1,"1.5.-0.5"
"17850",39000,926.31,1518.92093638313,360.121950874687,1.13799559321433,1,"1.5.-0.5"
"17851",39012,926.31,1518.9311404567,357.076405936969,1.13790949474151,1,"1.5.-0.5"
"17852",39024,926.31,1518.94150225917,363.096580685815,1.13808284932293,1,"1.5.-0.5"
"17853",39036,926.31,1518.952744551,394.45616929722,1.13897920602903,1,"1.5.-0.5"
"17854",39048,926.31,1518.96404958483,397.271146171144,1.13905916379281,1,"1.5.-0.5"
"17855",39060,926.31,1518.97430154659,360.894130591303,1.13802340372695,1,"1.5.-0.5"
"17856",39072,926.31,1518.9845258519,360.433982770075,1.13801144675472,1,"1.5.-0.5"
"17857",39084,926.31,1518.99468453465,358.633046926116,1.13796148142501,1,"1.5.-0.5"
"17858",39096,926.31,1519.00490050129,361.160064184631,1.13803432217446,1,"1.5.-0.5"
"17859",39108,926.31,1519.01610301401,396.53194109496,1.13903651293822,1,"1.5.-0.5"
"17860",39120,926.31,1519.02753618514,405.312640760443,1.13928432694865,1,"1.5.-0.5"
"17861",39132,926.31,1519.03854437833,390.893728479859,1.13887685797727,1,"1.5.-0.5"
"17862",39144,926.31,1519.04865110894,359.490495407255,1.13799225367984,1,"1.5.-0.5"
"17863",39156,926.31,1519.0587345833,359.169992062089,1.13798447527824,1,"1.5.-0.5"
"17864",39168,926.31,1519.06887758053,361.794065746653,1.13805944050728,1,"1.5.-0.5"
"17865",39180,926.31,1519.0789994238,361.551965947496,1.13805382016471,1,"1.5.-0.5"
"17866",39192,926.31,1519.09008228375,396.37302463071,1.13903033816314,1,"1.5.-0.5"
"17867",39204,926.31,1519.10113638261,395.958620915364,1.13901855029144,1,"1.5.-0.5"
"17868",39216,926.31,1519.11158864183,375.017416903342,1.13843363993874,1,"1.5.-0.5"
"17869",39228,926.31,1519.12165288232,361.649711746606,1.13806162891524,1,"1.5.-0.5"
"17870",39240,926.31,1519.13167653144,360.701583216665,1.13803645110329,1,"1.5.-0.5"
"17871",39252,926.31,1519.14177000134,363.719479998341,1.13812162337126,1,"1.5.-0.5"
"17872",39264,926.31,1519.15198055231,368.45129445364,1.1382541629655,1,"1.5.-0.5"
"17873",39276,926.31,1519.16310771841,402.04071099282,1.13918641605778,1,"1.5.-0.5"
"17874",39288,926.31,1519.17451440622,412.767039252445,1.13948297966726,1,"1.5.-0.5"
"17875",39300,926.31,1519.18464586829,367.286865257251,1.13822522409009,1,"1.5.-0.5"
"17876",39312,926.31,1519.19466626147,363.785703294852,1.1381296723639,1,"1.5.-0.5"
"17877",39324,926.31,1519.20462136456,361.929674962594,1.13807972944142,1,"1.5.-0.5"
"17878",39336,926.31,1519.21460517397,363.480302576616,1.13812368301478,1,"1.5.-0.5"
"17879",39348,926.31,1519.22501149625,379.366484294238,1.13856148722425,1,"1.5.-0.5"
