SampleID,N,d15N,C,d13C
YM1C_2_1_3_Rz,0.545161054,1.534925077,32.9489477,-8.578695398
YM1C_2_1_3_S,0.961132938,1.71882979,35.05299953,-10.117596
YM1C_2_20_1_Rt,0.689375446,-0.093959927,36.28998637,-6.5534315
YM1C_2_20_1_Rz,0.444357624,0.402566748,39.33854227,-6.886293554
YM1C_2_20_1_S,0.756423169,-0.122360802,37.30739587,-8.175206052
YM1C_2_20_1_S,0.757854428,-0.330687796,37.79699776,-7.784246999
YM1C_2_20_2_Rt,0.740443539,0.758661636,32.27672847,-7.481381236
YM1C_2_20_2_Rz,0.455810632,0.321316929,33.09337613,-8.578664864
YM1C_2_20_2_S,0.752946646,0.449711705,35.95771065,-7.696193375
YM1C_2_20_3_Rt,0.652624232,-0.00869777,34.84908649,-7.049821713
YM1C_2_20_3_Rz,0.382933542,0.231039351,34.30568061,-7.972933337
YM1C_2_20_3_S,0.730975661,-0.265487324,36.05818551,-8.248705678
YM1C_3_1_1_Rt,0.804338264,0.300331293,38.72901639,-7.88678051
YM1C_3_1_1_Rz,0.638726245,0.440425477,37.00470681,-8.739476769
YM1C_3_1_1_S,1.014353997,0.705710208,39.65739024,-9.013058473
YM1C_3_1_2_Rt,0.820876467,0.427508992,38.67108131,-7.850835469
YM1C_3_1_2_Rz,0.616791712,0.36690087,37.23194056,-8.101452285
YM1C_3_1_2_S,1.056439362,1.121024881,38.69260494,-9.125885964
YM1C_3_1_3_Rt,0.86750986,1.154806458,39.2059945,-8.013586628
YM1C_3_1_3_Rz,0.539000095,0.952117,38.05347785,-8.136398853
YM1C_3_1_3_S,1.071745373,1.417110462,39.88368662,-9.981577644
YM1C_3_20_1_Rt,0.940873537,0.752777578,39.25549203,-7.246614263
YM1C_3_20_1_Rz,0.712979859,2.579962902,39.10389406,-7.880830294
YM1C_3_20_1_S,0.996657807,1.78746315,39.01925299,-7.661371414
YM1C_3_20_2_Rt,1.038384006,0.63728652,38.40220796,-6.827830343
YM1C_3_20_2_Rz,0.790445778,0.944868598,37.82564484,-7.463053067
YM1C_3_20_2_S,1.150769702,2.090035748,39.88390726,-7.38352439
YM1C_3_20_3_Rt,1.110275812,0.198456063,39.71219217,-6.982860929
YM1C_3_20_3_Rz,0.627918633,0.319685481,34.33457733,-7.475133373
YM1C_3_20_3_S,0.905444897,0.942864806,38.696351,-7.241580802
YM1D_1_1_1_Rt,0.832149562,0.713104186,33.81574677,-8.05052336
YM1D_1_1_1_Rz,0.739153903,1.592709898,34.81882376,-8.421572791
YM1D_1_1_1_S,0.927195,1.980143165,34.76689533,-9.798908278
YM1D_1_1_2_Rt,0.792742662,0.304316329,34.91337627,-8.194985272
YM1D_1_1_2_Rz,0.458643019,0.642939106,36.03660134,-8.526456097
YM1D_1_1_2_S,0.879087836,1.126976469,37.29633552,-9.924570351
YM1D_1_1_3_Rt,0.672371865,1.06289212,33.48138277,-8.50241392
YM1D_1_1_3_Rz,0.665280385,0.524980421,35.09962429,-9.038009578
YM1D_1_1_3_S,0.850423943,0.996815161,35.33643373,-10.66271135
YM1D_1_20_1_Rt,0.763484855,0.826593862,36.80642092,-8.62391834
YM1D_1_20_1_Rz,0.444848353,0.770778141,38.20250232,-9.354926958
YM1D_1_20_1_S,0.749968603,0.650013217,37.30828403,-9.877642755
YM1D_1_20_2_Rt,0.721224913,0.179131498,36.48196166,-7.402925654
YM1D_1_20_2_Rz,0.542031622,0.013713998,37.3379826,-8.517788188
YM1D_1_20_2_S,0.79587733,-0.030938579,38.29688485,-8.148812331
YM1D_1_20_3_Rt,0.754642189,0.163909029,35.22437201,-8.086324485
YM1D_1_20_3_Rz,0.592509228,0.347593493,37.48259112,-9.087121901
YM1D_1_20_3_S,0.783012486,0.65204288,35.5447803,-9.029593408
YM1D_2_1_1_Rt,0.896349883,-0.052677434,37.66492768,-7.869127934
YM1D_2_1_1_Rt,0.896475916,0.08659324,37.67987862,-7.961186372
YM1D_2_1_1_Rt,0.900940779,0.305591327,37.63532542,-7.516398759
YM1D_2_1_1_Rt,0.907125723,0.048243344,37.68942213,-7.902075164
YM1D_2_1_1_Rt,0.897135687,0.279351925,37.51141265,-7.526089121
YM1D_2_1_1_Rt,0.895481814,0.235955991,37.64368608,-7.826490341
YM1D_2_1_1_Rt,0.898977543,0.167329862,37.68458589,-7.764472025
YM1D_2_1_1_Rt,0.898933799,0.357060924,37.64635051,-7.205338141
YM1D_2_1_1_Rt,0.897616166,0.160265407,37.69938423,-7.850716246
YM1D_2_1_1_Rt,0.894783814,0.211735004,37.51554861,-7.585200329
YM1D_2_1_1_Rz,0.587919202,1.411506983,37.89849434,-6.702259765
YM1D_2_1_1_Rz,0.593552062,1.097617559,38.09021521,-6.92590118
YM1D_2_1_1_Rz,0.616157164,1.138734065,38.29721517,-6.954945519
YM1D_2_1_1_Rz,0.611125356,1.185867621,38.32925872,-8.008286899
YM1D_2_1_1_Rz,0.62623875,1.561045802,38.81573454,-8.27999928
YM1D_2_1_1_Rz,0.608258521,1.211859911,38.8271071,-7.95149601
YM1D_2_1_1_Rz,0.617690329,1.137178536,38.95610421,-7.563881533
YM1D_2_1_1_Rz,0.594368546,1.037266966,38.72174807,-6.971800419
YM1D_2_1_1_Rz,0.618560437,0.777900567,38.95668112,-8.060028064
YM1D_2_1_1_Rz,0.622610844,1.219933574,39.03959152,-8.172436262
YM1D_2_1_1_S,0.925592004,1.237012543,37.43494349,-9.659941674
YM1D_2_1_1_S,0.911404973,1.170824997,37.07998183,-9.457599442
YM1D_2_1_1_S,0.926828892,1.438583706,37.45486974,-9.922308874
YM1D_2_1_1_S,0.925021787,1.298185881,37.38513844,-9.478898624
YM1D_2_1_1_S,0.912393509,1.333285337,36.9615689,-9.131334695
YM1D_2_1_1_S,0.910081182,1.346322278,37.23555313,-9.272683814
YM1D_2_1_1_S,0.92440069,1.231998335,37.32322028,-9.775150888
YM1D_2_1_1_S,0.915812069,1.37239616,37.32367392,-9.008380324
YM1D_2_1_1_S,0.923803504,1.233001176,37.27340546,-9.133270984
YM1D_2_1_1_S,0.920640343,1.236009701,37.36652998,-8.759567149
YM1D_2_1_2_Rt,0.917781678,0.682025828,36.82663852,-8.677304119
YM1D_2_1_2_Rt,0.90907544,0.806158385,36.57253113,-8.687963517
YM1D_2_1_2_Rt,0.892809571,0.807167593,35.62789765,-8.492218206
YM1D_2_1_2_Rt,0.899361188,0.982769746,36.09411459,-8.608502549
YM1D_2_1_2_Rt,0.915584863,1.043322213,36.69968104,-8.354615067
YM1D_2_1_2_Rt,0.918508041,0.890931838,36.75912581,-8.362367356
YM1D_2_1_2_Rt,0.917331059,0.798084723,36.75305127,-8.36139832
YM1D_2_1_2_Rt,0.905307256,0.786983437,36.09890151,-8.137550959
YM1D_2_1_2_Rt,0.914864138,0.749642749,36.73569836,-8.157900719
YM1D_2_1_2_Rt,0.91441015,0.809186008,36.58340961,-8.194724095
YM1D_2_1_2_Rz,0.802140594,1.488382842,39.85507499,-9.149224745
YM1D_2_1_2_Rz,0.796346528,1.484346011,39.89097624,-9.456409218
YM1D_2_1_2_Rz,0.79435509,1.726555878,39.87929925,-8.27224699
YM1D_2_1_2_Rz,0.801937716,1.429848791,39.93828619,-9.337217767
YM1D_2_1_2_Rz,0.801709628,1.400581766,39.8875214,-8.647263997
YM1D_2_1_2_Rz,0.800213765,1.159381107,39.87015439,-9.673473326
YM1D_2_1_2_Rz,0.783929665,1.461134232,39.22310252,-9.611455009
YM1D_2_1_2_Rz,0.801912028,1.482327596,39.75033393,-8.48349688
YM1D_2_1_2_Rz,0.796670153,1.510585413,39.73976012,-8.732539182
YM1D_2_1_2_Rz,0.795385715,1.511594621,39.7879886,-9.309115717
YM1D_2_1_2_S,1.247095199,1.875918629,39.33567358,-10.83244061
